Year,Fleet,Value,Label,Weight,Memo,CV
1970,All,80.00000000000001,Catch,1,NA,NA
1971,All,104.4263036910871,Catch,1,NA,NA
1972,All,112.44400969154032,Catch,1,NA,NA
1973,All,151.3598472714832,Catch,1,NA,NA
1974,All,161.87622193197237,Catch,1,NA,NA
1975,All,150.78383705432032,Catch,1,NA,NA
1976,All,143.14281866808244,Catch,1,NA,NA
1977,All,141.29436167320335,Catch,1,NA,NA
1978,All,137.67990436182495,Catch,1,NA,NA
1979,All,123.64263257975354,Catch,1,NA,NA
1980,All,136.51130551418416,Catch,1,NA,NA
1981,All,131.69457621035397,Catch,1,NA,NA
1982,All,115.81885181078921,Catch,1,NA,NA
1983,All,89.29701703758744,Catch,1,NA,NA
1984,All,100.54152957299263,Catch,1,NA,NA
1985,All,98.83773874984162,Catch,1,NA,NA
1986,All,97.72131394317333,Catch,1,NA,NA
1987,All,106.5517021706336,Catch,1,NA,NA
1988,All,113.07030676987287,Catch,1,NA,NA
1989,All,115.99381494229559,Catch,1,NA,NA
1990,All,122.30815485057433,Catch,1,NA,NA
1991,All,125.82852802620471,Catch,1,NA,NA
1992,All,119.86715383272538,Catch,1,NA,NA
1993,All,93.86499468591738,Catch,1,NA,NA
1994,All,99.72257934752717,Catch,1,NA,NA
1995,All,98.05765526529271,Catch,1,NA,NA
1996,All,95.73086403252083,Catch,1,NA,NA
1997,All,82.26238662934182,Catch,1,NA,NA
1998,All,79.81702375133457,Catch,1,NA,NA
1999,All,85.04200165104679,Catch,1,NA,NA
2000,All,98.70264907928696,Catch,1,NA,NA
2001,All,96.76819947381857,Catch,1,NA,NA
2002,All,99.96343117421443,Catch,1,NA,NA
2003,All,98.27761636503818,Catch,1,NA,NA
2004,All,84.88412470701054,Catch,1,NA,NA
2005,All,82.52857243574135,Catch,1,NA,NA
2006,All,80.71461046777918,Catch,1,NA,NA
2007,All,81.8709984509713,Catch,1,NA,NA
2008,All,93.0765904256829,Catch,1,NA,NA
2009,All,100.4440443535513,Catch,1,NA,NA
2010,All,97.58405737642639,Catch,1,NA,NA
2011,All,94.41824980610613,Catch,1,NA,NA
2012,All,100.99424123443015,Catch,1,NA,NA
2013,All,105.35875560538221,Catch,1,NA,NA
2014,All,96.3295209182408,Catch,1,NA,NA
2015,All,89.25308227209717,Catch,1,NA,NA
2016,All,93.14116643600047,Catch,1,NA,NA
2017,All,100.55682198819277,Catch,1,NA,NA
2018,All,98.1860992162522,Catch,1,NA,NA
2019,All,106.30637653226619,Catch,1,NA,NA
2020,All,108.18138643149393,Catch,1,NA,NA
1970,Cpue1,884.7897094499917,Index,1,NA,NA
1971,Cpue1,998.2082688382324,Index,1,NA,NA
1972,Cpue1,622.9864483565003,Index,1,NA,NA
1973,Cpue1,1145.4308352542835,Index,1,NA,NA
1974,Cpue1,1156.4718723541903,Index,1,NA,NA
1975,Cpue1,583.7771565975163,Index,1,NA,NA
1976,Cpue1,484.02293607592463,Index,1,NA,NA
1977,Cpue1,659.7794858144515,Index,1,NA,NA
1978,Cpue1,558.3784130517797,Index,1,NA,NA
1979,Cpue1,832.83481158085,Index,1,NA,NA
1980,Cpue1,564.3506569979652,Index,1,NA,NA
1981,Cpue1,629.8928043725185,Index,1,NA,NA
1982,Cpue1,485.2887795897695,Index,1,NA,NA
1983,Cpue1,320.6755285266692,Index,1,NA,NA
1984,Cpue1,435.0433525982876,Index,1,NA,NA
1985,Cpue1,287.03499233384247,Index,1,NA,NA
1986,Cpue1,545.8515324902911,Index,1,NA,NA
1987,Cpue1,457.7839541640395,Index,1,NA,NA
1988,Cpue1,727.5250989700545,Index,1,NA,NA
1989,Cpue1,531.5276035633308,Index,1,NA,NA
1990,Cpue1,442.159549648558,Index,1,NA,NA
1991,Cpue1,592.3997839901982,Index,1,NA,NA
1992,Cpue1,414.3375200365165,Index,1,NA,NA
1993,Cpue1,304.37095333622347,Index,1,NA,NA
1994,Cpue1,440.45035033779794,Index,1,NA,NA
1995,Cpue1,373.9094312700092,Index,1,NA,NA
1996,Cpue1,398.966790105533,Index,1,NA,NA
1997,Cpue1,347.8942645458388,Index,1,NA,NA
1998,Cpue1,295.58279340305546,Index,1,NA,NA
1999,Cpue1,316.2483683283527,Index,1,NA,NA
2000,Cpue1,400.2912545033345,Index,1,NA,NA
2001,Cpue1,510.3272453182858,Index,1,NA,NA
2002,Cpue1,307.11044125731127,Index,1,NA,NA
2003,Cpue1,461.14009337450966,Index,1,NA,NA
2004,Cpue1,378.0375455643549,Index,1,NA,NA
2005,Cpue1,425.3366142799545,Index,1,NA,NA
2006,Cpue1,316.4607358336764,Index,1,NA,NA
2007,Cpue1,367.3315831625681,Index,1,NA,NA
2008,Cpue1,409.0996711013884,Index,1,NA,NA
2009,Cpue1,375.4829820046329,Index,1,NA,NA
2010,Cpue1,517.7042070815338,Index,1,NA,NA
2011,Cpue1,496.17627536230555,Index,1,NA,NA
2012,Cpue1,484.0666400429621,Index,1,NA,NA
2013,Cpue1,602.962070264013,Index,1,NA,NA
2014,Cpue1,448.8049861789788,Index,1,NA,NA
2015,Cpue1,288.0902702157441,Index,1,NA,NA
2016,Cpue1,346.048705931405,Index,1,NA,NA
2017,Cpue1,327.9682461903994,Index,1,NA,NA
2018,Cpue1,372.15144358908566,Index,1,NA,NA
2019,Cpue1,391.2584307780303,Index,1,NA,NA
2020,Cpue1,454.5686069446091,Index,1,NA,NA
1970,Cpue2,833.4476970829437,Index,1,NA,NA
1971,Cpue2,962.3168448083769,Index,1,NA,NA
1972,Cpue2,685.042209962177,Index,1,NA,NA
1973,Cpue2,1224.6236289293518,Index,1,NA,NA
1974,Cpue2,898.1981271385775,Index,1,NA,NA
1975,Cpue2,753.703059411603,Index,1,NA,NA
1976,Cpue2,644.0628348637968,Index,1,NA,NA
1977,Cpue2,824.1865973813536,Index,1,NA,NA
1978,Cpue2,505.1727864355097,Index,1,NA,NA
1979,Cpue2,469.74162941609364,Index,1,NA,NA
1980,Cpue2,757.4672020508303,Index,1,NA,NA
1981,Cpue2,481.7679227205062,Index,1,NA,NA
1982,Cpue2,462.97245278995547,Index,1,NA,NA
1983,Cpue2,343.9591338063402,Index,1,NA,NA
1984,Cpue2,392.9524662969482,Index,1,NA,NA
1985,Cpue2,389.4646866905494,Index,1,NA,NA
1986,Cpue2,449.4720690644546,Index,1,NA,NA
1987,Cpue2,428.49565284160695,Index,1,NA,NA
